last_function_id,last_args,reward
451,"[[0], [21, 71]]",0
4,"[[3], [5]]",0
331,"[[0], [3, 68]]",0
274,[[1]],0
451,"[[0], [46, 42]]",0
12,"[[1], [18, 32]]",0
5,"[[0], [401]]",0
451,"[[1], [73, 20]]",0
2,"[[1], [39, 73]]",0
452,"[[1], [49, 31]]",0
7,[[1]],0
13,"[[0], [51, 32]]",0
451,"[[0], [52, 25]]",0
5,"[[3], [296]]",0
331,"[[0], [39, 18]]",0
1,"[[45, 20]]",0
1,"[[49, 3]]",0
331,"[[1], [53, 0]]",0
274,[[1]],0
13,"[[0], [41, 56]]",0
334,"[[1], [14, 37]]",0
13,"[[1], [4, 43]]",0
452,"[[0], [39, 23]]",0
0,[],0
5,"[[0], [23]]",0
5,"[[3], [239]]",0
452,"[[1], [54, 5]]",0
334,"[[1], [52, 50]]",0
13,"[[1], [53, 63]]",0
7,[[0]],0
12,"[[0], [1, 35]]",0
13,"[[0], [1, 26]]",0
234,[[0]],0
234,[[0]],0
0,[],-1
3,"[[0], [79, 55], [23, 53]]",0.0
3,"[[0], [31, 24], [49, 69]]",0
0,[],0
2,"[[0], [74, 55]]",0
4,"[[1], [8]]",0
7,[[1]],0
274,[[1]],0
13,"[[0], [21, 17]]",0
0,[],0
451,"[[1], [62, 27]]",0
451,"[[1], [7, 57]]",0
5,"[[1], [238]]",0
3,"[[1], [3, 52], [80, 77]]",0
334,"[[0], [50, 62]]",0
3,"[[0], [51, 27], [36, 81]]",0
331,"[[1], [55, 42]]",0
2,"[[2], [9, 32]]",0
3,"[[1], [79, 46], [2, 35]]",0
2,"[[1], [14, 80]]",0
12,"[[0], [9, 28]]",0
332,"[[1], [61, 40]]",0
452,"[[0], [4, 33]]",0
332,"[[0], [17, 49]]",0
3,"[[1], [11, 52], [81, 83]]",0
331,"[[1], [10, 54]]",0
5,"[[1], [370]]",0
333,"[[0], [35, 70]]",0
1,"[[1, 37]]",0
2,"[[3], [5, 71]]",0
12,"[[0], [24, 12]]",0
332,"[[0], [54, 17]]",0
234,[[0]],0
331,"[[0], [54, 7]]",0
13,"[[1], [39, 35]]",0
2,"[[2], [36, 71]]",0
7,[[0]],0
334,"[[1], [49, 20]]",0
332,"[[1], [54, 25]]",0
274,[[0]],0
332,"[[1], [3, 51]]",0
451,"[[1], [0, 47]]",0
274,[[0]],0
1,"[[19, 35]]",0
3,"[[0], [77, 65], [47, 15]]",0
451,"[[0], [58, 34]]",0
453,[[1]],0
3,"[[1], [62, 22], [31, 23]]",0
5,"[[2], [255]]",0
1,"[[63, 38]]",0
12,"[[1], [8, 63]]",0
1,"[[7, 48]]",0
3,"[[1], [50, 38], [67, 47]]",0
453,[[1]],0
3,"[[0], [9, 37], [52, 58]]",0
3,"[[0], [11, 19], [81, 62]]",0
7,[[0]],0
274,[[0]],0
453,[[0]],0
234,[[0]],0
3,"[[1], [37, 75], [35, 67]]",0
13,"[[1], [18, 37]]",0
7,[[1]],0
274,[[0]],0
2,"[[3], [24, 32]]",0
1,"[[0, 29]]",0
4,"[[1], [3]]",0
331,"[[1], [14, 65]]",0
2,"[[3], [5, 30]]",0
234,[[1]],0
451,"[[1], [10, 47]]",0
13,"[[1], [42, 2]]",0
452,"[[0], [40, 57]]",0
5,"[[3], [239]]",0
331,"[[1], [12, 33]]",0
1,"[[20, 49]]",0
2,"[[0], [76, 4]]",0
1,"[[24, 4]]",0
